year,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100
2019/08/29,1006584030.1616572,1687658468.951395,1416977874.892887,268045919.21494627,35319614.31070774
2019/08/30,1008133458.7947934,1685868805.4037557,1417403230.4602287,268039290.24023035,35120053.26801322
2019/08/31,1011796383.096492,1686965011.6109345,1420800289.588543,268628943.57623184,34856730.42790884
2019/09/01,1014949947.4771626,1688084079.1586895,1422446965.1173265,268892562.71972764,34743186.217110105
2019/09/02,1018187322.4963292,1689132810.814893,1422808899.025316,268980363.7629757,34611773.41628344
2019/09/03,1019050971.474829,1687256387.676169,1420729792.2349734,268637070.69757795,34538951.911717445
2019/09/04,1020941329.1233772,1685988815.3367443,1420198312.6882167,268414697.980046,34370211.64579476
2019/09/05,1022334543.4625274,1683884857.5060432,1419340125.0954566,268060428.67189488,34097780.454640724
2019/09/06,1024356146.3418512,1681993652.4597368,1419762280.388988,267969087.97918385,33771385.6552181
2019/09/07,1027068618.9324088,1681317049.592636,1421985957.07633,268216812.63019943,33431668.502520356
2019/09/08,1029653547.3691154,1680933639.039599,1422664449.3107524,268324990.06674013,33279832.159763757
2019/09/09,1032712393.9873748,1680872150.3020873,1422275411.253275,268306163.99500963,33123223.922288567
2019/09/10,1031796632.6207705,1676164717.8926048,1419937749.6065764,268214258.20136043,33015734.8026407
2019/09/11,1032469864.332966,1672538693.236521,1418188267.9125056,267848075.97854003,32811921.3864321
2019/09/12,1032943807.1702096,1668086240.75253,1415828607.0912592,267184510.95987424,32500404.499208465
2019/09/13,1034572649.903917,1664824103.631362,1415124324.4161189,266800262.48228773,32135523.94194792
2019/09/14,1036286523.4229332,1662587848.5444202,1416156245.138271,266721356.3811397,31801795.710584044
2019/09/15,1038085798.6819118,1660961102.541633,1415884309.6353393,266503407.09231573,31571049.39088899
2019/09/16,1040535327.9156,1660119173.4631217,1414745260.8805428,266155641.0007512,31338818.51324592
2019/09/17,1041105179.0276564,1657356071.427846,1411298894.6431143,265413228.04645208,31145413.201785672
2019/09/18,1042596386.1721371,1654477083.957714,1409658734.075163,264818350.27831697,30842348.881962456
2019/09/19,1043317191.1072024,1650431799.9649296,1407425838.716118,264059936.28939784,30444258.60165
2019/09/20,1044326330.3369032,1646238564.367148,1406323906.9677153,263554396.8157496,30081347.331844423
2019/09/21,1045536298.5490702,1643467422.1390903,1407050892.5630212,263457442.34316447,29683085.15472773
2019/09/22,1047229300.849674,1642172272.7515776,1407471133.938053,263284005.33521515,29419111.54873997
2019/09/23,1048919334.5232966,1640452276.77939,1406024326.8106046,262886296.22929,29186592.127931897
2019/09/24,1047579427.1600654,1634775253.9600494,1401080558.7512398,261803872.94274104,29078967.403289545
2019/09/25,1047350357.4274912,1629947442.5332732,1397905465.157548,260940902.3891887,28840343.50283544
2019/09/26,1046691049.573087,1624588170.8114393,1394777542.3171344,260128821.30582705,28522616.775052987
2019/09/27,1046846018.8712035,1619736063.3727496,1393007335.3699198,259638120.5550734,28071622.42446361
2019/09/28,1047035197.6657848,1615360518.9339485,1392472194.072579,259288775.10837248,27728621.409060176
2019/09/29,1047533356.8311188,1611554217.6062667,1390698851.5548434,258885492.16870183,27499378.438853472
2019/09/30,1047330861.1475748,1606963302.4295008,1387338506.3434453,258285588.97891396,27252896.334542096
2019/10/01,1045944083.5373664,1601188135.087319,1382116759.7479384,257248597.8997266,27104392.35136418
2019/10/02,1045533470.989867,1596286601.9263916,1379129704.436977,256475710.22229967,26828876.73698141
2019/10/03,1044611844.1206102,1590711087.7071817,1375700363.662792,255583383.9167032,26462649.296205334
2019/10/04,1043989418.0323608,1585105231.079042,1373780639.8947823,254991217.1323433,26064825.172231816
2019/10/05,1044005824.7234374,1580542933.8830962,1373584942.480968,254892472.5460702,25691280.02381896
2019/10/06,1044001623.1141002,1576808426.899633,1371955433.1345384,254472138.6328371,25426705.406980608
2019/10/07,1043898538.9618332,1572841382.0176003,1368898350.691193,253846185.89670336,25137601.38429488
2019/10/08,1041080253.525864,1565410744.56005,1363164251.5982518,252716775.3813568,24877784.578938644
2019/10/09,1041838551.4423418,1562783846.492864,1362504085.7994616,251874476.2494864,24566648.14805481
